"species","type","comparison","post","oob","firstmod","secmod","winner","loserPost","shipPost","admixPost","MLPost"
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.489081666666667,0.446925900030198,"Admix","ML","ML",0.510918333333333,NA,0.510918333333333,0.489081666666667
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.872368333333333,0.0279826428718158,"Ship","admix","Ship",0.127631666666667,0.872368333333333,0.127631666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.714025,0.026690129451309,"Ship","admix","Ship",0.285975,0.714025,0.285975,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.84943,0.0276023777831778,"Ship","ML","Ship",0.15057,0.84943,NA,0.15057
"Hemigrapsus_sanguineus","untrans","ShipVML",0.704995,0.0206188184347107,"Ship","ML","Ship",0.295005,0.704995,NA,0.295005
"Hemigrapsus_sanguineus","pca","AdmixVML",0.509448333333334,0.462873839339883,"Admix","ML","ML",0.490551666666666,NA,0.490551666666666,0.509448333333334
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.472678333333334,0.44779648013581,"Admix","ML","ML",0.527321666666666,NA,0.527321666666666,0.472678333333334
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.870528333333333,0.0280026395632723,"Ship","admix","Ship",0.129471666666667,0.870528333333333,0.129471666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.71369,0.0266774042840185,"Ship","admix","Ship",0.28631,0.71369,0.28631,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.855568333333333,0.0275751761757441,"Ship","ML","Ship",0.144431666666667,0.855568333333333,NA,0.144431666666667
"Hemigrapsus_sanguineus","untrans","ShipVML",0.699468333333333,0.020660527566109,"Ship","ML","Ship",0.300531666666667,0.699468333333333,NA,0.300531666666667
"Hemigrapsus_sanguineus","pca","AdmixVML",0.486602631578948,0.462800384143472,"Admix","ML","Admix",0.513397368421052,NA,0.486602631578948,0.513397368421052
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.502583333333334,0.447431924716585,"Admix","ML","Admix",0.497416666666666,NA,0.502583333333334,0.497416666666666
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.866918333333333,0.0280080932063968,"Ship","admix","Ship",0.133081666666667,0.866918333333333,0.133081666666667,NA
