indID,hap,popID,lat,lon
XSW_251,R21,XSW,24.77722222,120.9125
XSW_252,R21,XSW,24.77722222,120.9125
XSW_253,R21,XSW,24.77722222,120.9125
XSW_254,R21,XSW,24.77722222,120.9125
XSW_255,R21,XSW,24.77722222,120.9125
XSW_256,R21,XSW,24.77722222,120.9125
XSW_257,R21,XSW,24.77722222,120.9125
XSW_258,R21,XSW,24.77722222,120.9125
XSW_259,R21,XSW,24.77722222,120.9125
XSW_260,R21,XSW,24.77722222,120.9125
GMW_261,R21,GMW,24.31583333,120.5438889
GMW_262,R21,GMW,24.31583333,120.5438889
GMW_263,R21,GMW,24.31583333,120.5438889
GMW_264,R21,GMW,24.31583333,120.5438889
GMW_265,R21,GMW,24.31583333,120.5438889
GMW_266,R21,GMW,24.31583333,120.5438889
GMW_267,R21,GMW,24.31583333,120.5438889
GMW_268,R21,GMW,24.31583333,120.5438889
GMW_269,R21,GMW,24.31583333,120.5438889
GMW_270,R21,GMW,24.31583333,120.5438889
GMW_271,R21,GMW,24.31583333,120.5438889
GMW_272,R21,GMW,24.31583333,120.5438889
WDP_273,R21,WDP,23.52861111,119.5966667
WDP_274,R21,WDP,23.52861111,119.5966667
WDP_275,R21,WDP,23.52861111,119.5966667
WDP_276,R21,WDP,23.52861111,119.5966667
WDP_277,R21,WDP,23.52861111,119.5966667
WDP_278,R21,WDP,23.52861111,119.5966667
WDP_279,R21,WDP,23.52861111,119.5966667
WDP_280,R21,WDP,23.52861111,119.5966667
WDP_281,R21,WDP,23.52861111,119.5966667
WDP_282,R21,WDP,23.52861111,119.5966667
WDP_283,R21,WDP,23.52861111,119.5966667
WDP_284,R21,WDP,23.52861111,119.5966667
JQ_285,R21,JQ,23.64916667,119.6044444
JQ_286,R21,JQ,23.64916667,119.6044444
Yul_287,R22,Yul,34.76777778,128.5958333
Yul_288,R23,Yul,34.76777778,128.5958333
Yul_289,R24,Yul,34.76777778,128.5958333
Yul_290,R25,Yul,34.76777778,128.5958333
Yul_291,R26,Yul,34.76777778,128.5958333
Yul_292,R27,Yul,34.76777778,128.5958333
Yul_293,R28,Yul,34.76777778,128.5958333
Oha_294,R29,Oha,34.80111111,133.1125
Oha_295,R29,Oha,34.80111111,133.1125
Oha_296,R29,Oha,34.80111111,133.1125
Oha_297,R29,Oha,34.80111111,133.1125
Oha_298,R29,Oha,34.80111111,133.1125
Oha_299,R29,Oha,34.80111111,133.1125
Oha_300,R30,Oha,34.80111111,133.1125
Oha_301,R31,Oha,34.80111111,133.1125
Oha_302,R32,Oha,34.80111111,133.1125
Not_303,R33,Not,44.09972222,143.87
Not_304,R33,Not,44.09972222,143.87
Not_305,R33,Not,44.09972222,143.87
Not_306,R33,Not,44.09972222,143.87
Not_307,R33,Not,44.09972222,143.87
Tok_308,R34,Tok,35.31277778,139.8136111
Tok_309,R35,Tok,35.31277778,139.8136111
Ago_310,R36,Ago,34.30083333,136.8472222
Ago_311,R36,Ago,34.30083333,136.8472222
Ago_312,R36,Ago,34.30083333,136.8472222
Ago_313,R36,Ago,34.30083333,136.8472222
Ago_314,R36,Ago,34.30083333,136.8472222
Ago_315,R36,Ago,34.30083333,136.8472222
Ago_316,R36,Ago,34.30083333,136.8472222
Ago_317,R36,Ago,34.30083333,136.8472222
Ago_318,R36,Ago,34.30083333,136.8472222
Ago_319,R36,Ago,34.30083333,136.8472222
Ago_320,R36,Ago,34.30083333,136.8472222
Nan_321,R37,Nan,37.20305556,136.9066667
Nan_322,R37,Nan,37.20305556,136.9066667
Nan_323,R37,Nan,37.20305556,136.9066667
Lid_324,R37,Lid,37.43305556,137.2583333
Lid_325,R37,Lid,37.43305556,137.2583333
Lid_326,R37,Lid,37.43305556,137.2583333
Lid_327,R37,Lid,37.43305556,137.2583333
Lid_328,R37,Lid,37.43305556,137.2583333
Lid_329,R37,Lid,37.43305556,137.2583333
Oki_330,R37,Oki,26.3475,127.8852778
Oki_331,R37,Oki,26.3475,127.8852778
Oki_332,R37,Oki,26.3475,127.8852778
Oki_333,R37,Oki,26.3475,127.8852778
Oki_334,R37,Oki,26.3475,127.8852778
Oki_335,R37,Oki,26.3475,127.8852778
Oki_336,R37,Oki,26.3475,127.8852778
Oki_337,R37,Oki,26.3475,127.8852778
Oki_338,R37,Oki,26.3475,127.8852778
Oki_339,R37,Oki,26.3475,127.8852778
Oki_340,R37,Oki,26.3475,127.8852778
Nan_341,R38,Nan,37.20305556,136.9066667
Nan_342,R39,Nan,37.20305556,136.9066667
Nan_343,R40,Nan,37.20305556,136.9066667
Nan_344,R41,Nan,37.20305556,136.9066667
Nan_345,R42,Nan,37.20305556,136.9066667
Nan_346,R43,Nan,37.20305556,136.9066667
Oki_347,R44,Oki,26.3475,127.8852778
Oki_348,R45,Oki,26.3475,127.8852778
Oki_349,R46,Oki,26.3475,127.8852778
Oki_350,R47,Oki,26.3475,127.8852778
WJR_351,R48,WJR,24.42666667,118.3094444
HK_352,R49,HK,22.05583333,114.2694444
HK_353,R49,HK,22.05583333,114.2694444
HK_354,R49,HK,22.05583333,114.2694444
HK_355,R49,HK,22.05583333,114.2694444
HK_356,R49,HK,22.05583333,114.2694444
HK_357,R49,HK,22.05583333,114.2694444
HK_358,R49,HK,22.05583333,114.2694444
HK_359,R49,HK,22.05583333,114.2694444
HK_360,R49,HK,22.05583333,114.2694444
HK_361,R49,HK,22.05583333,114.2694444
HK_362,R49,HK,22.05583333,114.2694444
SCI_363,R49,SCI,21.65611111,112.7633333
SCI_364,R49,SCI,21.65611111,112.7633333
SCI_365,R49,SCI,21.65611111,112.7633333
SCI_366,R49,SCI,21.65611111,112.7633333
SCI_367,R49,SCI,21.65611111,112.7633333
SCI_368,R49,SCI,21.65611111,112.7633333
SCI_369,R49,SCI,21.65611111,112.7633333
SCI_370,R49,SCI,21.65611111,112.7633333
SCI_371,R49,SCI,21.65611111,112.7633333
SCI_372,R49,SCI,21.65611111,112.7633333
SCI_373,R49,SCI,21.65611111,112.7633333
SCI_374,R49,SCI,21.65611111,112.7633333
BGI_375,R49,BGI,20.015,110.5625
BGI_376,R49,BGI,20.015,110.5625
BGI_377,R49,BGI,20.015,110.5625
BGI_378,R49,BGI,20.015,110.5625
BGI_379,R49,BGI,20.015,110.5625
BGI_380,R49,BGI,20.015,110.5625
BGI_381,R49,BGI,20.015,110.5625
BGI_382,R49,BGI,20.015,110.5625
BGI_383,R49,BGI,20.015,110.5625
BGI_384,R49,BGI,20.015,110.5625
BGI_385,R49,BGI,20.015,110.5625
BGI_386,R49,BGI,20.015,110.5625
HK_387,R50,HK,22.05583333,114.2694444
PerB_388,R50,PerB,21.59777778,108.2127778
PerB_389,R50,PerB,21.59777778,108.2127778
PerB_390,R50,PerB,21.59777778,108.2127778
PerB_391,R50,PerB,21.59777778,108.2127778
PerB_392,R50,PerB,21.59777778,108.2127778
PerB_393,R50,PerB,21.59777778,108.2127778
PerB_394,R50,PerB,21.59777778,108.2127778
PerB_395,R50,PerB,21.59777778,108.2127778
PerB_396,R50,PerB,21.59777778,108.2127778
PerB_397,R50,PerB,21.59777778,108.2127778
SCI_398,R51,SCI,21.65611111,112.7633333
SCI_399,R52,SCI,21.65611111,112.7633333
SCI_400,R53,SCI,21.65611111,112.7633333
SCI_401,R54,SCI,21.65611111,112.7633333
PerB_402,R55,PerB,21.59777778,108.2127778
