Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
72	"Bangpo, Korea (17 Mar. 2006)"	"Hanyuda et al., 2016"	"H2 (1, AB607176/AB607808), H3 (2, AB607176/AB607807)"	H2	2	Bangpo	NA	Korea	25.059467	121.37876
72	"Bangpo, Korea (17 Mar. 2006)"	"Hanyuda et al., 2016"	"H2 (1, AB607176/AB607808), H3 (2, AB607176/AB607807)"	H3	1	Bangpo	NA	Korea	25.059467	121.37876
73	"Red Head Island, Bay of Islands, NZ (2 Mar. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	2	Red Head Island	Bay of Islands	NZ	17.1378828	-61.72835232
74	"Tapeka Point, Russell, Bay of Islands, NZ (2 Mar. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Tapeka Point	Russell	NZ	-35.2418502	174.1215449
75	"The Cliff site, Bay of Islands, NZ (3 Mar. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	The Cliff site	Bay of Islands	NZ	52.27953715	-1.597716877
76	"Labird Channel, Poor Knights, NZ (24 Feb. 2005)"	"Hanyuda et al., 2016"	H5 (6)	H5	6	Labird Channel	Poor Knights	NZ	-35.465188	174.735628
77	"Ocean Beach, Whangarei, Northland, NZ (21 Aug. 2005)"	"Hanyuda et al., 2016"	H5 (4)	H5	4	Ocean Beach	Whangarei	NZ	40.6467664	-73.1570589
78	"Langs Beach, Bream Bay, Northland, NZ (19 Aug. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Langs Beach	Bream Bay	NZ	-36.0484302	174.5349034
79	"Bait Pond, Mayor Island, NZ (1 Mar. 2005)"	"Hanyuda et al., 2016"	"H4 (1, AB607177/AB607806), H5 (2), H6 (1)"	H4	1	Bait Pond	Mayor Island	NZ	28.8468707	-95.67417461
79	"Bait Pond, Mayor Island, NZ (1 Mar. 2005)"	"Hanyuda et al., 2016"	"H4 (1, AB607177/AB607806), H5 (2), H6 (1)"	H5	2	Bait Pond	Mayor Island	NZ	28.8468707	-95.67417461
79	"Bait Pond, Mayor Island, NZ (1 Mar. 2005)"	"Hanyuda et al., 2016"	"H4 (1, AB607177/AB607806), H5 (2), H6 (1)"	H6	1	Bait Pond	Mayor Island	NZ	28.8468707	-95.67417461
80	"Tauranga Port, NZ (8 Mar. 2002, 6 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Tauranga Port	NA	NZ	-37.66499985	176.1710778
81	"Gisborne, NZ (25 Sep. 2004)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Gisborne	NA	NZ	-38.661326	178.0206487
82	"Napier Port, NZ (17 Dec. 2001, 23 Nov. 2005)"	"Hanyuda et al., 2016"	"H5 (3), H7 (1)"	H5	3	Napier Port	NA	NZ	-39.4751357	176.9137908
82	"Napier Port, NZ (17 Dec. 2001, 23 Nov. 2005)"	"Hanyuda et al., 2016"	"H5 (3), H7 (1)"	H7	1	Napier Port	NA	NZ	-39.4751357	176.9137908
83	"Napier, NZ (25 Sep. 2004)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Napier	NA	NZ	-39.4902099	176.917839
84	"Blackhead, NZ (23 Nov. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Blackhead	NA	NZ	42.2677434	-74.104636
85	"Oponoi, Hokianga, Northland, NZ (19 Sep. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Oponoi	Hokianga	NZ	-38.01892325	177.133578
86	"Kemps Beach, Leigh, NZ (6 Apr. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Kemps Beach	Leigh	NZ	36.832082	-76.151805
87	"OiNeill Bay, Waitakere, Auckland, NZ (6 May 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	OiNeill Bay	Waitakere	NZ	-36.8492169	174.5437767
88	"Te Henga, West Coast, Auckland, NZ (22 Jul. 2007)"	"Hanyuda et al., 2016"	H5 (3)	H5	3	Te Henga	West Coast	NZ	-36.8896316	174.4502946
89	"Piha, Waitakere, Auckland, NZ (14 Dec. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Piha	Waitakere	NZ	-36.9556043	174.4694742
90	"Kiritehere, Waikato, NZ (31 Jan. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H7	1	Kiritehere	Waikato	NZ	-38.3285201	174.7195064
91	"Waitara, Taranaki, NZ (30 Jan. 2006)"	"Hanyuda et al., 2016"	H7 (1)	H5	1	Waitara	Taranaki	NZ	-39.0028236	174.2364324
92	"Onaero, Taranaki, NZ (30 Jan. 2006)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Onaero	Taranaki	NZ	-39.0103255	174.3647375
93	"Port Taranaki, NZ (15 Mar. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Port Taranaki	NA	NZ	-39.0561073	174.0297087
94	"Picton floating dock, NZ (2 Oct. 2004, 8 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Picton floating dock	NA	NZ	-23.2335499	17.3231107
95	"Waikawa Bay, Picton, NZ (8 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Waikawa Bay	Picton	NZ	-41.25958595	174.0471303
96	"Picton Port, NZ (18 Jan. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Picton Port	NA	NZ	44.0102669	-77.1353417
97	"Marlborough Sounds, NZ (25 Jan. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Marlborough Sounds	NA	NZ	-41.28893895	174.0088843
98	"Scorching Bay, Wellington, NZ (8 Mar. 2005, 27 Jun. 2005, 5 Dec. 2005)"	"Hanyuda et al., 2016"	"H5 (2), H7 (1)"	H5	2	Scorching Bay	Wellington	NZ	-41.2981623	174.8346249
98	"Scorching Bay, Wellington, NZ (8 Mar. 2005, 27 Jun. 2005, 5 Dec. 2005)"	"Hanyuda et al., 2016"	"H5 (2), H7 (1)"	H7	1	Scorching Bay	Wellington	NZ	-41.2981623	174.8346249
99	"Pukerua Bay, Wellington, NZ (10 Mar. 2005)"	"Hanyuda et al., 2016"	H8 (1)	H8	2	Pukerua Bay	Wellington	NZ	-41.0374407	174.8854454
100	"Wellington Port, NZ (15 Feb. 2005, 16 Feb. 2005, 18 Feb. 2005"	"Hanyuda et al., 2016"	H5 (3)	H5	3	Wellington Port	NA	NZ	51.4759136	-2.770103416
101	"Island Bay, Wellington, NZ (27 Jun. 2005, 5 Dec. 2005)"	"Hanyuda et al., 2016"	"H5 (1), H8 (1)"	H5	1	Island Bay	Wellington	NZ	-41.3323139	174.7716525
